date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:24	1167/1167	---M-Z	200	added ('OK')	text/xml	date:Sun,%2012%20Apr%202026%2006:04:09%20GMT	https://hgmedia.com.vn/sitemap_index.xml	D:/hnl/hnlmedia/hgmedia.com.vn/sitemap_index.xml	(from )
13:01:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Apr%202026%2006:04:10%20GMT	https://hgmedia.com.vn/	D:/hnl/hnlmedia/hgmedia.com.vn/index.html	(from )
13:01:25	126045/126045	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2012%20Apr%202026%2006:04:10%20GMT	https://hgmedia.com.vn/en/	D:/hnl/hnlmedia/hgmedia.com.vn/en/index.html	(from https://hgmedia.com.vn/)
13:01:26	212/212	---M-Z	401	error ('Unauthorized')	application/json	date:Sun,%2012%20Apr%202026%2006:04:11%20GMT	https://hgmedia.com.vn/en/wp-json/wp/v2/pages/9	D:/hnl/hnlmedia/hgmedia.com.vn/en/wp-json/wp/v2/pages/9	(from https://hgmedia.com.vn/en/)
13:01:27	2616/2616	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2012%20Apr%202026%2006:04:12%20GMT	https://hgmedia.com.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhgmedia.com.vn%2Fen%2F	D:/hnl/hnlmedia/hgmedia.com.vn/en/wp-json/oembed/1.0/embedaec0.json	(from https://hgmedia.com.vn/en/)
13:01:28	2847/2847	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2012%20Apr%202026%2006:04:13%20GMT	https://hgmedia.com.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhgmedia.com.vn%2Fen%2F&format=xml	D:/hnl/hnlmedia/hgmedia.com.vn/en/wp-json/oembed/1.0/embeddab7	(from https://hgmedia.com.vn/en/)
13:01:48	4771/4771	U-----	200	untouched ('')	text/javascript	date:Tue,%2015%20Mar%202022%2023:12:10%20GMT	https://hgmedia.com.vn/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	D:/hnl/hnlmedia/hgmedia.com.vn/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	(from https://hgmedia.com.vn/en/)
13:01:56	61792/61792	U-F---	200	untouched ('OK%20(cached)')	text/html	etag:%22621c3c680ac4d6fcd8ca4e6953f30577%22	https://hgmedia.com.vn/en/feed/	D:/hnl/hnlmedia/hgmedia.com.vn/en/feed/index.html	(from https://hgmedia.com.vn/en/)
13:01:57	716/716	U-F---	200	untouched ('OK%20(cached)')	text/html	etag:%22621c3c680ac4d6fcd8ca4e6953f30577%22	https://hgmedia.com.vn/en/comments/feed/	D:/hnl/hnlmedia/hgmedia.com.vn/en/comments/feed/index.html	(from https://hgmedia.com.vn/en/)
13:02:28	10850/10850	U-----	200	untouched ('')	text/javascript	date:Tue,%2015%20Mar%202022%2023:12:10%20GMT	https://hgmedia.com.vn/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	D:/hnl/hnlmedia/hgmedia.com.vn/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	(from https://hgmedia.com.vn/en/)
